"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"occupationgroup","67068e9c85654550e384df9b","67068ead85654550e3851e25","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e10d","67068ead85654550e3851e26","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e3851fac","67068ead85654550e3851e27","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068eac85654550e3851b02","67068ead85654550e3851e28","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384df90","67068ead85654550e3851e29","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e3851da1","67068ead85654550e3851e2a","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e38523b7","67068ead85654550e3851e2b","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3852475","67068ead85654550e3851e2c","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384e0ff","67068ead85654550e3851e2d","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e09f","67068ead85654550e3851e2e","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384dfaa","67068ead85654550e3851e2f","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e0fd","67068ead85654550e3851e30","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e0b4","67068ead85654550e3851e31","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e38520fe","67068ead85654550e3851e32","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384df1a","67068ead85654550e3851e33","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384df2f","67068ead85654550e3851e34","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"escooccupation","67068ead85654550e385202e","67068ead85654550e3851e35","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e38524ad","67068ead85654550e3851e36","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3851fac","67068ead85654550e3851e37","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3852439","67068ead85654550e3851e38","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3851f34","67068ead85654550e3851e39","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384deff","67068ead85654550e3851e3a","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"escooccupation","67068ead85654550e3851f2f","67068ead85654550e3851e3b","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384e057","67068ead85654550e3851e3c","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"occupationgroup","67068e9c85654550e384e036","67068ead85654550e3851e3d","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"occupationgroup","67068e9c85654550e384e0c2","67068ead85654550e3851e3e","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"escooccupation","67068eac85654550e3851adb","67068ead85654550e3851e3f","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e385238b","67068ead85654550e3851e40","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384df35","67068ead85654550e3851e41","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"occupationgroup","67068e9c85654550e384e101","67068ead85654550e3851e42","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"occupationgroup","67068e9c85654550e384def1","67068ead85654550e3851e43","escooccupation","2024-10-09T14:09:53.693Z","2024-10-09T14:09:53.693Z"
"occupationgroup","67068e9c85654550e384e02d","67068ead85654550e3851e44","escooccupation","2024-10-09T14:09:53.705Z","2024-10-09T14:09:53.705Z"
"occupationgroup","67068e9c85654550e384df4d","67068ead85654550e3851e45","escooccupation","2024-10-09T14:09:53.705Z","2024-10-09T14:09:53.705Z"
"occupationgroup","67068e9c85654550e384e0da","67068ead85654550e3851e46","escooccupation","2024-10-09T14:09:53.705Z","2024-10-09T14:09:53.705Z"
